1,이현우,86,96,75,257,85.67,44
2,장윤아,94,88,83,265,88.33,28
3,강현우,91,100,84,275,91.67,8
4,이재형,79,85,75,239,79.67,91
5,최혜린,100,97,80,277,92.33,5
6,한선우,81,82,83,246,82.0,73
7,한지은,99,99,73,271,90.33,16
8,정민수,78,82,95,255,85.0,52
9,신재형,75,81,84,240,80.0,89
10,이보라,88,70,79,237,79.0,94
11,강민호,76,91,87,254,84.67,57
12,임선우,84,74,75,233,77.67,97
13,손나래,81,88,87,256,85.33,50
14,한은서,75,87,75,237,79.0,94
15,강철수,81,89,72,242,80.67,83
16,정보라,81,70,91,242,80.67,83
17,김재형,88,88,71,247,82.33,72
18,임민수,94,80,79,253,84.33,61
19,임은서,100,78,83,261,87.0,36
20,이선우,76,77,99,252,84.0,62
21,정재형,76,98,97,271,90.33,16
22,임윤아,100,94,94,288,96.0,1
23,박보라,99,84,79,262,87.33,32
24,강보라,93,80,81,254,84.67,57
25,김민지,76,94,95,265,88.33,28
26,이민호,84,86,73,243,81.0,81
27,정영희,100,82,99,281,93.67,3
28,손지은,80,89,87,256,85.33,50
29,이지은,87,86,91,264,88.0,30
30,이지훈,87,71,96,254,84.67,57
31,신지은,98,91,88,277,92.33,5
32,강선우,73,88,82,243,81.0,81
33,오보라,78,99,74,251,83.67,65
34,장민지,93,89,75,257,85.67,44
35,박민호,70,87,88,245,81.67,77
36,한민수,97,99,85,281,93.67,3
37,장민수,94,76,81,251,83.67,65
38,한민수,98,90,80,268,89.33,20
39,신윤아,94,95,86,275,91.67,8
40,손지훈,83,81,93,257,85.67,44
41,정민수,79,89,76,244,81.33,79
42,김보라,76,73,97,246,82.0,73
43,최현우,84,79,94,257,85.67,44
44,한나래,100,96,74,270,90.0,18
45,박민수,94,74,92,260,86.67,38
46,송지훈,89,90,78,257,85.67,44
47,정아라,72,84,86,242,80.67,83
48,오지훈,77,88,83,248,82.67,69
49,최현우,85,83,100,268,89.33,20
50,강혜린,94,78,74,246,82.0,73
51,한현우,86,72,83,241,80.33,88
52,김지훈,75,86,99,260,86.67,38
53,박은서,98,76,83,257,85.67,44
54,신민지,90,71,97,258,86.0,41
55,손아라,72,83,93,248,82.67,69
56,임아라,88,93,74,255,85.0,52
57,신재형,71,95,86,252,84.0,62
58,정재형,97,88,70,255,85.0,52
59,한선우,71,97,94,262,87.33,32
60,손영희,96,88,99,283,94.33,2
61,조민지,99,79,86,264,88.0,30
62,김지훈,92,77,98,267,89.0,24
63,김보라,85,78,92,255,85.0,52
64,김보라,74,76,75,225,75.0,99
65,손민호,84,81,73,238,79.33,93
66,조보라,89,92,77,258,86.0,41
67,강은서,82,77,70,229,76.33,98
68,강영희,75,89,94,258,86.0,41
69,손은서,86,84,89,259,86.33,40
70,조재형,94,71,97,262,87.33,32
71,박민지,74,92,95,261,87.0,36
72,오선우,79,75,70,224,74.67,100
73,한보라,77,91,74,242,80.67,83
74,장민지,80,100,74,254,84.67,57
75,조재형,98,98,78,274,91.33,11
76,장윤아,89,88,98,275,91.67,8
77,장영희,75,82,87,244,81.33,79
78,박민지,83,91,92,266,88.67,25
79,송철수,98,97,73,268,89.33,20
80,장혜린,84,88,100,272,90.67,15
81,이선우,98,71,82,251,83.67,65
82,정민지,95,91,88,274,91.33,11
83,김지은,77,93,70,240,80.0,89
84,박지훈,78,93,95,266,88.67,25
85,이은서,100,85,85,270,90.0,18
86,최민호,91,74,90,255,85.0,52
87,조선우,82,77,78,237,79.0,94
88,이보라,98,73,77,248,82.67,69
89,박재형,98,77,91,266,88.67,25
90,송은서,94,84,90,268,89.33,20
91,최지훈,91,87,95,273,91.0,14
92,이혜린,94,94,74,262,87.33,32
93,이은서,71,88,86,245,81.67,77
94,한보라,98,71,83,252,84.0,62
95,신민지,73,86,83,242,80.67,83
96,강혜린,82,85,84,251,83.67,65
97,이나래,87,93,96,276,92.0,7
98,정민호,88,74,84,246,82.0,73
99,한민지,93,97,84,274,91.33,11
100,오은서,90,74,75,239,79.67,91
